,MCI+E2f4VP16_1,MCI+E2f4VP16_2,MCI+E2f4VP16_3,MCI+siRbl2_1,MCI+siRbl2_2,MCI+siRbl2_3,MCI+siCTL_1,MCI+siCTL_2,MCI+siCTL_3,Control_1,Control_2,Control_3
Nek2,10.86450567,10.7891259,10.79381011,10.66464751,10.64463398,10.75069172,9.870499211,9.783818478,9.822290339,9.012885064,8.965950707,8.862536207
Dnaic1,8.203236171,8.171561236,8.149592585,7.859359944,7.700817877,7.858093969,5.451992274,5.774346807,5.514512204,4.805366674,4.63211138,4.615004022
Kif24,10.22149661,10.24139553,10.21250919,10.14578688,10.05672707,10.09052294,9.192654173,9.240628509,9.284147275,8.020342643,7.882510107,7.956167487
Elmod1,6.099685091,5.874585321,5.402516726,6.12481754,6.248192906,6.315016056,5.088636686,4.843367754,5.049699822,3.933155817,4.03216084,4.016673345
Cntrob,10.8294569,10.86866874,10.84469394,10.4391462,10.41632948,10.44504929,9.690816538,9.754503464,9.649320599,9.234575377,9.419391437,9.218128485
Dnaic2,9.90186612,9.878451789,9.890592953,9.696687248,9.526757911,9.67758245,7.569348703,7.442623604,7.527920315,6.627896873,6.737574675,6.71580773
Trnp1,6.996283113,7.135799348,7.176377755,7.981074346,7.86905281,7.998538968,8.117122191,8.084198399,8.172468345,9.300590593,9.328857128,9.395140087
1700028P14Rik,6.018562405,6.185714692,6.119026728,6.551711902,6.385808525,6.436231982,4.589382229,4.038647137,4.183734162,3.821774627,3.774922089,3.706768848
Foxj1,14.5357879,14.57777044,14.51026169,13.46226085,13.42106891,13.44324594,12.12428471,12.09082909,12.15142889,9.531567292,9.526020613,9.526291062
Ccdc30,8.621149481,8.779182192,8.724493052,8.570813437,8.559441406,8.508475724,7.019003512,7.01884401,7.194649477,6.526950277,6.692131349,6.662599693
Nphp1,11.05690234,11.0563889,10.99231897,10.8024947,10.79844696,10.91129305,10.0472908,10.08902066,10.09566647,9.654626725,9.624106341,9.604574001
Dpy19l2,3.066486173,2.919362049,3.04626629,3.377905086,3.204836193,3.561482883,2.254314854,2.25878139,2.338035447,2.284808596,2.26566357,2.320131783
Trp73,12.31620364,12.36295725,12.34135892,10.47268812,10.41705894,10.42928021,9.682570335,9.734075027,9.734598831,7.212624993,7.189228675,7.142375346
1110017D15Rik,6.549721631,6.447760382,6.305611965,6.808330236,6.774482423,6.520493851,4.441691124,4.411533114,4.475360313,4.34326144,4.156365445,3.876532229
Kctd4,5.001549474,5.174368795,4.99237596,3.406106903,3.444149278,3.167451185,3.388358386,3.020859245,3.795639701,3.609536229,3.853551239,3.821802775
Rfx3,9.149481981,9.306253123,9.230432882,8.574460486,8.536092575,8.519061257,7.70681588,7.621925257,7.663762569,7.370201443,7.421151814,7.572119743
Stk33,7.490735048,7.562316971,7.462421423,7.013231817,7.190795153,7.271168365,5.638598613,5.622194723,5.35592154,4.611005254,4.611986467,4.57672683
Dydc2,6.820668917,6.600057983,6.699711961,6.533552249,6.591376574,6.65357752,5.267925362,5.13583374,5.253079766,4.430334179,4.312625239,4.653021197
Nags,4.286961741,4.074514689,4.153655149,4.383895333,4.820043869,4.612010727,3.677290545,3.693195764,3.756833437,3.103436898,3.073419738,3.030216336
Ttc16,6.606734219,6.80847876,6.437144987,6.688252485,6.773087955,6.802256771,5.429159621,5.430649471,5.175640239,4.965447716,4.80914878,4.777401881
Spag17,6.224996832,6.150188588,5.979386649,5.256643206,5.491524852,5.623499892,4.385720908,4.177601225,4.413104522,4.035004664,3.769637439,3.890680937
Mns1,10.91619743,10.91547609,10.8467672,10.2836622,10.20684373,10.37122615,8.936479425,8.854857475,8.907281435,7.487676552,7.5551139,7.533559944
Tmem107,9.936366528,9.900949996,9.952418435,10.24613893,10.255473,10.23472801,8.919776559,8.888942989,8.920231882,7.937269411,8.181790134,8.09299806
Ttc22,2.922409615,3.032173939,2.885204887,3.227447251,2.956763254,3.481162129,3.20968281,3.104207287,3.400925285,4.249681854,4.077646346,4.166525921
Ccdc39,10.42104385,10.43974518,10.40153457,10.15368819,10.13227989,10.19385189,8.268194904,8.105295784,8.204589478,7.927197706,7.729314721,7.645134499
Vwa3a,8.810842049,8.836450384,8.943589094,7.94584147,7.991779274,8.013993495,6.095784013,6.184455898,6.315756795,4.97290754,5.123815503,4.855633605
Efhb,8.434373069,8.532512477,8.317414475,8.112159772,8.222920793,8.266724868,6.502024001,6.312846749,6.672212183,5.129095083,5.168307462,4.954710598
Neto2,11.03247102,11.03048571,11.0154954,10.24884817,10.31293839,10.24091069,9.904919177,9.923476078,9.919663242,8.884159239,8.82744398,8.906316709
Ttc29,3.505133757,3.04501273,3.611567897,4.07382454,4.120976523,4.016958847,2.524011199,2.785343396,2.520201729,2.564180097,2.539010381,2.502604954
Lrriq1,9.549239292,9.5167516,9.37871124,9.543431479,9.500870306,9.513834966,7.381532965,7.63621236,7.546827936,5.929753991,5.877689484,5.711910052
Lrguk,8.876734731,8.825847237,8.828358096,8.550612546,8.519350989,8.484664467,6.835541393,6.935375238,6.643791865,5.820850405,5.963897186,6.033470176
Plch1,7.575327353,7.59999115,7.536677276,7.049001758,7.019573077,7.144264248,6.169236967,5.783355238,6.013648121,5.378404202,5.502031331,5.15327993
4932438H23Rik,7.297373778,7.213562995,7.224347992,7.269558491,7.185063809,7.420180668,5.774138215,5.798634245,5.775900868,4.943134319,4.829785755,4.691407158
Efhc1,10.39170293,10.37073172,10.42776077,10.03333869,10.02226432,10.06249925,8.653588819,8.664350199,8.5016102,8.116342216,8.17587135,8.039633813
Lrrc23,9.338071377,9.359079064,9.229055263,9.925945392,9.811489543,9.931168759,7.097733094,6.97722788,6.926923938,5.765662025,5.640471782,5.678898142
Ephb2,9.431628027,9.44377085,9.484509386,10.33581142,10.30917973,10.27357774,10.78115179,10.77055162,10.75622843,11.02011978,11.05095123,10.98425863
Mlf1,10.58226765,10.53363725,10.52258876,10.90768996,10.8904304,10.93129245,9.816160986,9.726137823,9.84976313,7.838821534,7.609032747,7.488035835
Ubash3a,1.745606786,1.593919215,1.642079166,1.412172336,1.586700875,1.252699003,1.332716397,1.259856374,1.172714129,1.185995314,1.178336169,1.167537033
Cenpj,10.34396086,10.37863215,10.33099638,10.23875162,10.24831113,10.30134981,9.755509007,9.763816541,9.749513891,9.131824658,8.874835142,8.996894998
6820408C15Rik,7.980098122,8.044945182,8.11838363,7.821960662,7.878867679,7.804152735,5.7053598,5.925855451,5.938580427,4.946142254,4.888024594,5.050768509
Aard,9.962335074,9.926780143,9.850881595,8.942231841,8.793568121,8.896567576,7.178699794,7.415509208,7.428798747,5.975381465,6.207541346,6.145959396
Ubxn10,6.269754752,6.541567407,6.43385365,6.426215967,6.425362873,6.715742021,4.739861378,4.725118455,4.497152844,3.969895941,3.922742129,3.854365952
Cntd1,5.995807714,5.90903599,5.889037936,5.741713768,5.920866089,5.677470739,5.024570153,4.653820513,4.877732497,4.340627291,4.605180408,5.080851147
Plk4,12.265336,12.21468688,12.21545933,12.11200089,12.09555391,12.16695513,11.19182053,11.14937835,11.20320655,10.00053309,9.948900155,9.923613777
St14,8.408082472,8.222874583,8.499092267,7.782947575,8.015155812,7.826015854,7.895501422,7.997510906,7.965346092,6.922482612,6.843761513,6.610431249
Dpcd,10.67808262,10.65260055,10.64230231,10.39732579,10.32933693,10.43111502,9.733169281,9.74545561,9.77900501,9.251002176,9.240409798,9.294671656
Traf3ip1,10.72978894,10.7822028,10.7190886,10.7634826,10.72536708,10.78344422,9.941987193,9.943477346,9.933044998,9.322403435,9.133201087,9.175652075
Ugt8a,6.226242624,6.139718477,6.068583016,4.517542411,4.375452692,4.32609415,4.586035719,4.725747004,4.40737186,3.917936838,3.599138649,3.733120803
Kif9,10.85724084,10.85626426,10.84382868,10.53601936,10.56604459,10.59506659,9.263860328,9.216309919,9.141899599,8.022000564,8.04158524,8.079630292
Scrib,12.868598,12.90558664,12.87019045,12.19478635,12.19630167,12.22406894,11.93863986,11.95468372,11.96164851,11.05771136,11.15280645,11.09748001
Asrgl1,10.46285609,10.4846313,10.41787934,9.837873384,9.884351307,9.85458393,8.757626844,8.746354508,8.852244741,8.33877311,8.318673198,8.338977565
Unc5c,10.06096642,10.02443729,9.981657282,10.45004678,10.39368463,10.37436555,10.55106857,10.55628202,10.51860069,11.63688584,11.43492591,11.42847642
Fank1,8.146750825,7.959321915,8.054122571,7.22459728,7.3005653,7.418928389,6.187373624,5.835289268,5.698175562,4.979524357,4.708710459,5.091073105
Riiad1,7.740827128,7.634843567,7.604611283,7.414052726,7.55100741,7.561382792,5.96819148,6.041252493,5.968985607,5.418565275,5.307779243,5.539756799
Agtr1a,7.06823813,6.78858397,6.952215427,6.832251846,7.092705048,7.126562389,7.217053839,7.230601762,7.276916721,9.241589854,9.252521618,9.219429416
Khdrbs3,10.72390277,10.73984952,10.63224071,10.3618068,10.43134181,10.44421557,10.02466198,10.02309357,10.03299837,9.349750188,9.439070935,9.361741334
Enkur,8.37247599,8.323262012,8.430693763,8.390521773,8.394491507,8.422831992,6.620509423,6.546562566,6.57151729,5.396633544,5.252697298,5.412329603
Ak8,6.321968906,6.05380679,6.14510227,6.150805877,5.79098853,5.963450167,5.035921901,4.293370996,4.803255542,4.145539242,3.955188895,4.266589402
Tekt4,6.969307445,6.993969481,7.220646603,7.24099648,7.328350969,7.40711156,5.104600807,4.997436653,5.330997144,4.305261708,4.255525493,4.183633692
Wdr38,6.199445335,5.923464566,6.175253865,5.49851158,5.793263039,6.045190294,4.312234827,4.237327639,4.463406342,3.741121161,3.775962769,3.633153812
Ccdc40,10.26227709,10.31772297,10.24785517,9.597888301,9.555325271,9.527488972,7.663673883,7.60508932,7.675238939,6.541069512,6.77489043,6.618157267
1700012B09Rik,5.558506007,5.381117005,5.569447698,5.280068614,5.102918319,5.214052067,3.682612296,3.489555418,3.542100862,3.472516115,3.341404215,3.28326474
Myb,12.30022677,12.33139863,12.3257432,11.19560194,11.16336799,11.19606512,10.03425858,10.01931335,10.04738885,7.540741622,7.615047242,7.539366839
Ankrd42,10.08017293,10.09103649,10.05639862,9.938328996,9.843879067,9.943185549,8.868578365,8.905739505,9.019316697,8.543845147,8.656025974,8.696594055
Fgl1,5.805794019,5.804017023,5.640298097,6.223890737,6.403469203,6.611081953,4.233180139,4.481474128,4.365179376,4.164134058,4.163647025,4.3120741
Pappa2,7.15592388,6.808141237,6.974294309,8.179957334,8.264443638,8.104564243,8.403087111,8.409027731,8.504128875,8.230719842,8.116628703,8.28241731
Ppil6,6.694977238,6.518979029,6.525499779,6.475036881,6.390054921,6.447604913,4.817641411,5.134249249,4.804426405,4.075135023,4.167855187,4.20302092
Fam81a,9.467112243,9.565638958,9.535807096,9.230579831,9.161101417,9.226985217,8.555238385,8.507281014,8.688862815,6.81659976,6.953202191,6.934018864
Fbxo36,8.715212005,8.797702361,8.637000817,9.16024338,9.025999187,9.024361339,7.432438346,7.357578809,7.272492462,7.304513856,7.389738921,7.471497574
Xk,9.727368872,9.655050904,9.725945452,8.979496522,8.998290762,9.052656776,7.994693045,7.906843724,8.068684654,7.36950014,7.3687112,7.505623916
Ccdc113,8.017300789,8.024284677,8.019077715,8.135853802,7.8691708,8.058561669,6.09493094,5.990964995,5.843768614,4.849025351,4.851057544,4.7220203
Wdr63,8.472754778,8.456267178,8.563728848,8.396040705,8.198897902,8.390058294,6.107500891,6.115018625,6.025042061,5.131099081,4.974718469,5.075416465
Pgbd5,7.0774301,6.880544902,7.127571703,6.731493302,6.709218218,6.608430477,6.051819002,6.104323597,5.81231079,5.436140174,5.351114134,5.328697502
