,MCI+E2f4VP16_1,MCI+E2f4VP16_2,MCI+E2f4VP16_3,MCI+siRbl2_1,MCI+siRbl2_2,MCI+siRbl2_3,MCI+siCTL_1,MCI+siCTL_2,MCI+siCTL_3,Control_1,Control_2,Control_3
Rp1,3.214168413,3.164096914,3.350710727,3.418182773,3.762037347,3.142427275,2.732801363,2.599958501,2.726489824,2.462459261,2.53029938,2.413977948
Rgs20,8.228286901,8.287937079,8.189638141,8.170010628,8.167615928,8.093666877,7.409572897,7.500841947,7.501184084,5.673013195,5.783186733,5.313718805
Gm39590,1.121026563,1.268976985,0.787344579,0.626599371,0.787183004,0.78430203,0.62488435,0.626165355,0.624062059,0.633708235,0.628147121,0.699360346
Sgk3,10.43753639,10.43019274,10.35887842,9.344097626,9.299507617,9.239983715,8.945881502,8.885214952,8.997640475,8.579562753,8.519859776,8.559084901
Ppp1r42,5.717107393,5.702870018,5.873248571,5.708466045,5.436172664,5.604100715,3.915301072,4.193295905,4.334619005,3.725254455,3.67878127,3.679880989
4930444P10Rik,4.613889992,4.761809033,4.567676633,4.473873098,4.331398648,4.937455748,3.326281103,3.113613314,3.098809653,3.071901117,3.209349599,3.146536252
D030040B21Rik,1.397384046,1.327758661,1.433929874,1.13391776,1.125515154,1.316259094,1.052059215,1.055270078,0.969458102,0.980687781,0.974207368,0.965090684
Crispld1,5.207289523,5.281007456,5.474756994,7.276221492,7.307015928,7.464098594,7.138590086,7.023167977,7.073277117,7.157248885,6.979870122,7.006956661
Pkhd1,1.938621505,2.110651206,1.955479156,1.96371699,2.172487734,1.9523736,2.510649342,2.24972231,1.870899651,2.793939393,2.683572798,2.461311063
Efhc1,10.39170293,10.37073172,10.42776077,10.03333869,10.02226432,10.06249925,8.653588819,8.664350199,8.5016102,8.116342216,8.17587135,8.039633813
Gm7094,2.294973749,2.658731545,2.818275525,2.624216847,2.778086336,2.727595512,2.263340145,2.270817915,2.323655477,2.058523627,2.044706011,2.100485723
LOC118567721,6.055822545,6.110388306,6.023551297,4.9802166,5.222110084,5.266876117,5.232470799,5.335781351,5.296140035,4.767240269,4.760644635,4.73629002
Adgrb3,6.329875866,6.21850795,6.327306659,5.443904715,5.087502904,5.279711789,4.00772893,4.445909024,4.589939213,3.67565516,3.631756317,3.64164029
LOC118567732,3.221643894,3.219677,3.352418874,3.153889104,3.084253224,3.117569636,2.8437508,2.734846825,2.779803753,2.557010291,2.532717664,2.631680191
Gm3052,4.389832704,4.235928509,4.110873918,3.468757003,4.050683016,4.20660345,3.695681285,4.047517231,3.807552157,3.340211164,3.298030371,3.353471127
LOC118567733,9.134255323,9.166150522,9.138739958,8.736100937,8.616860103,8.676251445,8.442709149,8.36187205,8.241272214,7.212593197,7.283328641,7.215757127
Arid5a,10.2088021,10.15045765,10.222262,9.458515416,9.473188908,9.538660091,9.062892127,9.174244236,9.113677491,8.601668562,8.658411865,8.595742452
Vwa3b,6.319994929,6.488310691,6.427324436,6.51072615,6.645193089,6.585767128,5.57640698,5.383924309,5.661626236,4.610935274,4.325137672,4.355870394
Cnga3,3.831376494,3.729829728,3.933861678,3.293291534,3.267119954,3.257931178,3.175401907,3.135323702,3.309580902,2.688100182,2.829730297,2.634661057
Cracdl,5.185603596,5.26904328,5.138657375,4.773935466,5.05024986,4.857471484,4.693782327,4.689308323,4.571776973,3.771855439,4.023921861,3.780460013
