Gene,log2FoldChange,pvalue,padj
Mcidas,11.80816505,0,0
Foxj1,7.998059062,0,0
Deup1,7.541600337,4.32E-115,3.20E-113
Cdc20b,7.240210272,1.74E-218,3.94E-216
Trp73,7.149835996,1.88E-109,1.30E-107
Shisa8,7.083049209,1.28E-144,1.41E-142
Hap1,7.049869252,6.60E-281,2.70E-278
Myb,6.522584801,1.99E-144,2.19E-142
Ccno,6.038119377,1.31E-202,2.55E-200
Drc7,5.768248533,4.55E-59,1.40E-57
Oasl1,5.672034923,2.87E-99,1.70E-97
Cacng4,5.439201395,7.84E-68,2.96E-66
F830016B08Rik,5.356793061,1.09E-89,5.68E-88
Cfap52,5.26217955,5.57E-46,1.27E-44
Cfap44,5.15668465,5.03E-65,1.77E-63
Gm4951,5.116136667,7.02E-90,3.68E-88
2410004P03Rik,5.028492072,1.96E-66,7.15E-65
Rsad2,4.987210641,8.86E-59,2.69E-57
Iigp1,4.871729983,2.14E-119,1.73E-117
Gm4841,4.801489938,1.00E-37,1.81E-36
Zbp1,4.769140529,4.70E-208,9.44E-206
Oas2,4.659849922,2.36E-191,4.13E-189
Iqub,4.618452717,1.13E-40,2.23E-39
Chrna3,4.602819304,1.96E-31,2.90E-30
Cxcl9,4.536823242,5.11E-37,9.01E-36
Vipr1,4.510698854,5.09E-44,1.11E-42
Stox1,4.466178735,1.12E-41,2.29E-40
Oas1a,4.437147176,2.14E-130,2.02E-128
Ak9,4.379248085,7.93E-33,1.23E-31
Spef2,4.360198563,1.84E-40,3.63E-39
Cfap206,4.342815141,4.50E-31,6.57E-30
Oasl2,4.340862898,1.71E-65,6.05E-64
Lrrc9,4.336874886,7.36E-31,1.07E-29
Maats1,4.308496566,6.09E-28,8.00E-27
Mx1,4.215652563,1.23E-48,3.02E-47
Zmynd10,4.18342068,1.63E-40,3.21E-39
Lrriq1,4.159093787,6.81E-38,1.24E-36
Bex1,4.127107622,4.84E-34,7.87E-33
Dynlrb2,4.12629267,3.37E-25,4.03E-24
Rab15,4.126053722,0,0
Irf7,4.120505243,1.44E-154,1.78E-152
Dnali1,4.059255021,3.83E-39,7.26E-38
Ildr2,3.986532213,0,0
Dnajb13,3.926878111,4.32E-24,4.91E-23
Ccdc146,3.924641429,4.31E-25,5.12E-24
1700016K19Rik,3.882885299,6.08E-26,7.43E-25
Usp18,3.880781997,1.32E-69,5.15E-68
Trim30a,3.838611644,1.01E-189,1.74E-187
Mlf1,3.81918618,6.49E-56,1.85E-54
H2-Q9,3.762391699,2.21E-19,2.04E-18
Spag6l,3.754196479,2.96E-19,2.71E-18
Cxcl10,3.753917925,1.90E-23,2.10E-22
Oas1g,3.746180678,3.71E-33,5.84E-32
Gbp9,3.733546141,1.86E-42,3.89E-41
Kif27,3.730264843,1.30E-57,3.83E-56
Tekt1,3.729300916,1.31E-20,1.27E-19
H2-Q4,3.711273666,4.51E-147,5.17E-145
Drc1,3.705572991,2.80E-90,1.48E-88
Apod,3.67016333,6.38E-108,4.34E-106
Gbp6,3.667624468,1.16E-79,5.22E-78
Rgs20,3.662992292,4.26E-41,8.52E-40
C1ql1,3.657926393,3.66E-38,6.72E-37
D430041D05Rik,3.654200228,1.63E-19,1.52E-18
Foxn4,3.64355667,4.37E-18,3.79E-17
Lrrc23,3.641674805,6.22E-24,7.05E-23
Tgtp2,3.635393464,4.10E-33,6.44E-32
Usp43,3.626934623,1.73E-23,1.92E-22
Gm12250,3.621776019,1.84E-31,2.73E-30
Gldc,3.616985352,1.93E-41,3.90E-40
Gbp3,3.593807491,3.29E-49,8.22E-48
Tac1,3.592355797,6.87E-28,9.00E-27
Slfn10-ps,3.588282383,2.59E-75,1.09E-73
Isg15,3.580483322,1.04E-48,2.57E-47
Ddx60,3.576716054,3.89E-95,2.17E-93
Nlrc5,3.559195992,2.99E-162,4.11E-160
Ryr2,3.558560214,2.99E-33,4.73E-32
Ccdc96,3.510647429,1.10E-38,2.05E-37
Apol9b,3.500700177,4.33E-66,1.57E-64
Tgtp1,3.483855923,1.12E-27,1.46E-26
Efhb,3.483117092,1.32E-20,1.28E-19
Nme5,3.461324869,6.49E-60,2.04E-58
Ankrd35,3.454882439,1.61E-44,3.55E-43
Cfap126,3.424969728,3.05E-44,6.69E-43
Sp100,3.414618766,2.74E-141,2.91E-139
Crtac1,3.411363751,3.27E-17,2.71E-16
Epcam,3.381689074,2.34E-16,1.86E-15
Slfn8,3.377200747,5.95E-138,5.94E-136
Olfr1372-ps1,3.369682885,3.49E-19,3.19E-18
Clic6,3.362546985,1.21E-15,9.26E-15
Ptprt,3.362168213,5.04E-35,8.39E-34
Dhx58,3.361213991,1.12E-221,2.69E-219
1700013F07Rik,3.354885607,4.01E-16,3.14E-15
E2f7,3.348954922,0,0
Tcp11,3.338797092,6.40E-18,5.47E-17
Psmb9,3.329870214,2.26E-84,1.10E-82
Tbx21,3.318389457,9.61E-15,6.97E-14
Nefm,3.306353304,2.86E-37,5.09E-36
Ifit1,3.297259234,1.30E-38,2.43E-37
Hrk,3.264640199,1.10E-14,7.94E-14
Pifo,3.258134832,3.74E-14,2.62E-13
Iqcg,3.25608331,1.46E-60,4.66E-59
Vwa3a,3.252272105,5.94E-16,4.61E-15
Mst1,3.243512621,5.10E-21,5.04E-20
Cmpk2,3.239236818,1.55E-25,1.87E-24
Ifit3,3.23683096,4.29E-33,6.73E-32
Phf11d,3.224543264,2.00E-146,2.24E-144
Stk32a,3.216223708,1.17E-41,2.39E-40
Ttc21a,3.214959766,2.69E-33,4.25E-32
Nek11,3.204178913,6.25E-15,4.58E-14
Spag16,3.202248201,1.37E-16,1.10E-15
Epha5,3.168968624,1.46E-58,4.41E-57
Chst5,3.154569866,3.80E-35,6.35E-34
Dnah6,3.149035842,3.03E-31,4.46E-30
Trim30d,3.147643338,5.57E-23,6.04E-22
Ifi203,3.146448579,8.66E-61,2.78E-59
Hydin,3.144074314,3.76E-13,2.50E-12
Drc3,3.13146863,3.56E-41,7.13E-40
Sost,3.131093002,4.73E-13,3.13E-12
Slc38a3,3.11694002,5.27E-17,4.34E-16
Ccdc113,3.108883029,1.72E-14,1.23E-13
Ifi47,3.108205713,1.25E-76,5.42E-75
Mgat5b,3.10710985,5.70E-15,4.19E-14
H2-Q5,3.099737301,9.93E-13,6.43E-12
Fam183b,3.098975796,9.09E-13,5.89E-12
Rsph4a,3.076826701,6.95E-24,7.83E-23
Rnf213,3.066769442,6.49E-100,3.89E-98
Cep152,3.05805017,1.88E-159,2.46E-157
Cspg5,3.057868947,3.12E-35,5.22E-34
Gbp5,3.053879712,2.45E-14,1.74E-13
Ifi44,3.053396656,1.18E-52,3.16E-51
Gm12185,3.051336725,6.14E-17,5.04E-16
Ccdc180,3.030623691,1.35E-13,9.20E-13
Cfap65,3.02578292,3.66E-12,2.28E-11
H2-K1,3.025357491,0,0
Ccl20,3.022768294,7.26E-26,8.86E-25
Alox12b,3.022648235,3.83E-12,2.38E-11
Strip2,3.011857803,3.55E-26,4.39E-25
Psmb8,3.008158416,1.53E-185,2.52E-183
Nefl,3.006266888,7.72E-13,5.02E-12
