Gene,log2FoldChange,pvalue,padj
Sulf1,-1.417564781,0,0
Col3a1,-1.24015206,0,0
Map2,-1.875037681,0,0
Fn1,-1.626660614,0,0
Inhbb,3.022673469,0,0
Fmod,-2.082807085,0,0
Ildr2,4.656862444,0,0
Dtl,2.814999015,0,0
Plxdc2,-1.414646309,0,0
Tubb4b,1.648775645,0,0
Col5a1,-1.23111164,0,0
Cntrl,2.431684991,0,0
Thbs1,-1.521623331,0,0
Cep152,4.037823271,0,0
Thbd,-2.400373896,0,0
Ccn5,-2.418421857,0,0
Lama5,-1.606421144,0,0
Plk4,3.453208494,0,0
Ptx3,-1.973913823,0,0
Penk,-3.307940032,0,0
Melk,2.805552972,0,0
Wdr78,4.240991102,0,0
Podn,-2.196264196,0,0
Agrn,1.570749116,0,0
Sema3c,-1.891781025,0,0
Sod3,-2.432904342,0,0
Eln,-2.127471992,0,0
Medag,-2.281106705,0,0
Col1a2,-1.2219571,0,0
Cav2,2.176311328,0,0
Mest,-1.40303766,0,0
Ccnd2,-1.706272722,0,0
Lig1,2.229078829,0,0
Ruvbl2,2.089841762,0,0
E2f8,3.35644831,0,0
Pcsk6,2.075258998,0,0
Prss23,-1.921857866,0,0
Rrm1,1.653385369,0,0
Dkk3,-1.294842856,0,0
Ccp110,3.073889091,0,0
Htra1,-1.727646739,0,0
Pidd1,2.909131763,0,0
Ccnd1,-1.646311575,0,0
Crlf1,-2.819981972,0,0
Tppp3,4.623514304,0,0
Mmp13,3.199226023,0,0
Hyls1,3.680261212,0,0
Crabp1,1.966480338,0,0
Itga11,-2.103502265,0,0
Kif9,4.117036072,0,0
Ccn2,-1.751045006,0,0
Rspo3,-2.074545305,0,0
Cdk1,2.262434538,0,0
Timp3,-1.49905491,0,0
Cep83,2.543394747,0,0
E2f7,4.156457112,0,0
Lyz2,-4.020160729,0,0
Sparc,-1.400053882,0,0
Col1a1,-1.223033722,0,0
Foxj1,10.02670882,0,0
Timp2,-2.286980609,0,0
Rab15,4.962852037,0,0
Ltbp2,-2.140166485,0,0
Fbln5,-1.299349671,0,0
Ogn,-1.9484028,0,0
Il6st,-1.762367558,0,0
Ccno,8.276508934,0,0
Itgbl1,-1.795624834,0,0
Rspo2,-1.922228132,0,0
Tbc1d31,2.190295818,0,0
Ccdc80,-1.458932454,0,0
Abi3bp,-2.6426629,0,0
App,-1.218026168,0,0
Fndc1,-2.221823484,0,0
Phf10,1.633008941,0,0
Wdr90,3.140788247,0,0
Cdsn,-4.542713854,0,0
Galnt1,1.662565306,0,0
Lox,-1.830124584,0,0
Mpeg1,-4.319827434,0,0
Gpc4,-1.257148243,0,0
Bgn,-1.44140994,0,0
Fads2,1.385992394,2.83E-306,7.06E-304
Rnf157,2.688364142,1.56E-302,3.83E-300
Pcnt,2.127469954,8.15E-299,1.99E-296
Serpine2,-1.165499973,8.83E-299,2.13E-296
Hsp90aa1,1.721347034,1.84E-298,4.38E-296
Gpm6b,-2.029406487,7.94E-293,1.87E-290
Cep120,1.865032507,1.64E-290,3.81E-288
Stil,3.206541015,3.98E-290,9.16E-288
H2-K1,1.964610305,1.63E-289,3.71E-287
Myo7a,-1.786909882,1.54E-288,3.46E-286
Svep1,-1.563186416,8.14E-288,1.81E-285
Mgp,-1.608342398,2.79E-287,6.08E-285
